r	的
qima	乐曲
ynkm	雇员
wtaa	八戒
fgqq	十多
gdyt	天庭
udfm	拳击
pdvv	寡妇
rlds	舞厅
wyyo	依恋
fbft	求职者
mxqt	婴幼儿
puye	衬衣
mqys	风靡
ujjg	竟是
stdp	槰
qjwf	银监会
tfrt	千斤
wkfa	仲裁
gdx	珑
gdxn	珑
kfj	嘲
kfje	嘲
wwhv	人眼
wytq	依稀
xqng	绝情
djte	百般
gaty	开往
itiy	海浪
pgga	定型
ymxk	高强
swye	槜
ifii	汗水
lcfn	轻声
lgtk	囤积
uivv	美少女
rdu	撩
rdui	撩
dgan	厨艺
tvfc	律动
dnng	盛情
fcxj	运费
jtir	临沂
wup	傍
imae	油菜
kkds	咖啡厅
rrwg	折合
tfbc	选取
uftc	半径
ykai	衰落
dqhh	大名鼎鼎
sgcf	配对
sqdh	桸
vkx	絮
vkxi	絮
fijs	未果
oarn	煤气
qitf	尔等
wrwl	傀儡
gak	瑾
gakg	瑾
pswa	宋代
ipyk	学识
rlud	押送
wysv	偏要
yxt	雍
yxty	雍
gdrh	天年
itip	海滨
twut	答道
udfb	着地
ayx	蓄
ayxl	蓄
ccnk	双臂
sglh	西甲
ycry	充斥
asal	基本功
drtt	大手笔
kbkw	啊哈
qkkg	名号
lgxj	车费
pwkk	容器
uqhx	酱紫
dysi	大话西游
lltj	男篮
rlqq	押金
wfdm	会面
wwkj	任人唯贤
icd	渗
icde	渗
rgtc	捷径
vkad	如若
wwtk	人种
iapy	滢
xelf	组团
dv	肆
rnwy	擢
lkyn	贺词
xntv	纪委
fdfn	垮
ogun	懟
yxym	谐调
axj	蕴
axjl	蕴
bsnu	阿飞
puyj	补课
rnrn	氧气
nyl	懔
nyli	懔
ghsa	下棋
iclg	治国
ipdj	浓厚
iyto	注释
rkyo	拐弯
fgfp	干过
bfhh	陆上
figc	未到
funt	增发
umyn	商户
wttt	傻笑
xvyg	结婚证
iagd	满天
naxt	慌张
ito	湫
itoy	湫
itt	滗
khxj	路费
wvty	侵入
ggfq	一元
lfqk	署名
nouq	屡次
ntet	改用
rnir	气派
ujuj	单单
grmm	五指山
idyy	湖广
tetf	航行
wvqt	健儿
jgqt	旦夕
sycw	核验
xxmh	缘由
sewf	极佳
xqfq	绝无
uimm	冰山
xxxm	丝绸
aurj	菩提
gjfc	更动
nyjo	尽显
shpf	相守
sqwg	攀登
vbyt	好话
vqrq	忍饥挨饿
xfje	结盟
ydkk	变压器
kwn	喉
kwnd	喉
gvwy	现如今
sgeb	西服
xfxq	续约
mgkc	敱
lrfq	暂无
vcsv	既要
ijgd	光明正大
tfjc	先贤
gpl	珲
gplh	珲
afog	鞋业
jtxe	星级
xksc	强权
cwtc	皴
tif	衍
tifh	衍
adce	若能
dijf	耗时
yyyj	方剂
gdlp	天边
mgue	同前
wfwt	仕途
wmwk	催促
otdp	熢
bcwf	取舍
lhyy	四方
xsnt	结构性
stss	格林
ddbp	大院
eprh	逐年
kgdu	顺理成章
rdgc	排到
truj	牧童
fhrh	走掉
juyw	暗夜
pyhk	视点
qqbf	金陵
fpir	过激
itud	洗头
madt	典故
njhk	慢点
opnm	迷惘
usbb	亲子
ylov	为数
yem	裔
yemk	裔
dkgn	大吃一惊
fqtg	远征
rsvb	打好
ujkf	韵味
weqq	佣金
hfhh	卡夫卡
lujf	疃
yth	诈
ythf	诈
tmgh	躺下
vtaw	妖孽
rgrd	后排
usjt	新星
xqhk	约占
tgdu	重磅
fhg	址
ifhg	淔
rxaq	旣
txen	胤
ukj	剖
ukjh	剖
alah	功臣
lthh	图上
rnya	气度
sjbb	棍子
wafq	伊斯坦布尔
yajg	度量
jcrt	坚挺
qews	解体
rmtw	抽签
ldep	恩爱
qwnt	独创性
tdkh	知足
jexl	明细
rrxq	白纸
ygwy	主食
qimm	乐山
jnw	曜
jnwy	曜
sgtk	酪
wl	佃
knfn	叫声
nxeb	羽绒服
rcgi	返还
vdxg	姑母
gxnt	毒性
jkux	师兄弟
rskg	打嗝
cwiq	难逃
gfvb	玩好
hhkk	目瞪口呆
wqud	斧头
ymet	调用
ihad	波斯
kaxn	中世纪
kqkh	吹嘘
wxid	货源
ihrg	小兵
dglg	礓
vpj	婶
vpjh	婶
mhmh	帷幄
mhwq	由你
ntoo	发火
swfp	检索
gahl	璼
cece	通通
jguy	师门
lfrr	转折
sfai	飘落
tirg	稍后
tqlw	自然界
ugev	美腿
verh	奶牛
vnrg	刀兵
yatf	试行
yynn	文书
dsxn	奇幻
tawn	长假
xbxm	维也纳
iag	懑
iagn	懑
iwyf	誉
imgg	海贼王
iptk	沉积
ofoy	糯米
tplt	乏力
bumq	联网
jmwq	映像
rdai	振荡
uwjg	准是
uth	痄
uthf	痄
rwgc	捡到
bcje	取暖
fqgj	无理
mjcb	赐予
whqd	悠然
gqld	死因
tyip	入党
yaww	诬
alpl	苏军
qqyn	铭记
rgbj	岳阳
tttu	竹简
qkq	勉
qkql	勉
kldq	别克
nnwy	书信
ttrr	稀稀拉拉
fdud	无厘头
prkh	牢中
yalh	遮罩
iwyf	雀
ggwn	王侯
mqud	风头
ntto	发愁
tuyn	简讯
gkbb	豆子
ihiy	波浪
skcm	可观
wgvv	侄女
avnn	切忌
bmit	出海
dmlt	耐力
meme	骨髓
rikk	热水器
rptf	控告
sqmd	攀岩
nyod	心烦
adrc	苦瓜
ggpb	一字
khgf	忠于
rnfi	所示
wkdn	促成
yty	旒
ytyq	旒
regc	扔到
iaj	漠
iajd	漠
rdg	撼
rdgn	撼
ghif	政法
yvsm	良机
itgc	活到
djqk	百名
plaa	军工
rbge	报表
rwbk	失职
tpft	管教
guqy	珓
jvrd	照排
ngfu	情境
aiiu	荡漾
fjwx	进化
fqlp	无边
hxnn	此书
wfhk	会战
fjwx	进货
oxqc	粉红色
usma	新曲
wttu	伤科
wygb	停顿
dixf	大满贯
iymq	流风
ccwg	桑拿
ckit	台海
gxuj	不经意
hngh	忐忑
iyfk	流露
qtmw	狗肉
tyfh	入超
wgpl	全军
xpsy	综述
ags	茉
agsu	茉
ity	汷
jjgg	蜵
fpsv	索要
gndn	不翼而飞
jlxx	螺丝
qqts	金条
yfwu	语无伦次
ufkh	闭嘴
yyde	方有
djag	春暖花开
fuym	增高
iplf	学园
nyyn	惦记
khwg	跌倒
qhqn	外包
odoy	烣
ran	揲
rans	揲
swg	栓
swgg	栓
ddif	大法
fmuy	南门
mbpd	邮寄
rkfn	拐卖
siad	档期
xtny	疑心
yiny	应尽
hvq	睨
swg	橙
hvqn	眼馋
jhje	申明
mpym	崇高
rjby	提防
wcyw	公认
wkwf	保值
fpan	过世
rsrp	打探
ugss	美梦
tufh	秚
bmim	出没
gruf	一年半载
medo	骨灰
ylgg	为王
lfnu	黑屏
ucft	旁观者
wqit	低劣
yaud	席卷
yfwa	讨伐
hl	卤
wdmd	偄
gmtl	责备
rbhh	报上
away	荟萃
jsjs	颗颗
rnpg	撰写
ugll	美男
uqwu	善解人意
nubu	屏障
sgmm	西山
uwii	冷水
wdth	估算
xbww	继承人
itte	洗盘
kkwr	器件
mhny	贴心
ukdh	冲破
vgvc	姨妈
wnnn	追忆
ywpb	认字
fimf	救赎
pgih	富婆
rrlt	魄力
cbxu	柔弱
nthh	发卡
xmsv	纲要
rjb	撮
rjbc	撮
pgnt	定性
sgtj	丁香
tffj	行进
wvdm	颁布
ywtr	庸人自扰
pwte	穿透
jyq	蚁
jyqy	蚁
fpmt	过账
olft	烟雾
swpw	检察
mdo	炭
mdou	炭
ftuq	老将
islu	河畔
itjv	海归
lpsa	边框
ymkt	敲响
ysqi	摩尔
igrg	滞后
imca	没戏
iswx	温哥华
pluf	军装
umud	端着
amit	黄海
dfud	磕头
iqal	潘金莲
iydf	液压
ptbp	宅院
cfif	圣洁
adov	基数
atby	攻防
dlhk	奋战
edem	腼腆
fwhk	零点
lnvi	回忆录
ploo	军火
ppiq	之光
pumj	实则
usuj	新意
vqng	婚外情
vtvd	妊娠
etyg	用语
ggoy	一米
gsad	末期
pavk	宽恕
rrqq	白金
tqbj	衡阳
yumq	详见
hcgk	皮带
pfhh	塞上
wgfp	拿过
fmbj	南阳
hkov	点数
pvmp	安迪
qtuy	狡辩
rvad	招惹
wyrv	偏执
etrg	用兵
iliq	涟漪
ltlt	略图
givg	珰
oug	糕
ougo	糕
ajna	草民
prld	牢固
deyk	有误
fqdt	无故
klwn	中国人民
tmcm	微观
alif	功法
uxny	背心
wgna	便民
atem	蓝筹股
peut	家产
qqsu	多样
udav	关切
khny	忠心
qyma	镶嵌
qkbw	免除
yiyo	应变
nqdn	恍然大悟
afnm	恭喜发财
stnt	可行性
uwuy	冷门
wiug	传染病
xqqc	绝色
tfjf	篝
why	仆
bdlw	承办
geso	青楼
jkud	蝇头
sgyt	西施
wtgo	叙利亚
xiyv	张学良
fngg	专一
vwgk	录像带
ylwf	为佳
afny	甘心
iypy	注视
nhud	收养
ooxx	断断续续
rcdm	反面
wcet	公用
swfc	桧
ifyy	法文
ncgk	怪事
ujfm	单击
hkgi	上吐下泻
ugia	美满
umyf	端庄
frgq	无所不包
uqxk	交织
xxos	红绿灯
fnlt	卖力
nffw	屠夫
bmif	出汗
fbrv	地势
rrq	魄
rrqc	魄
dhip	在学
ttkk	笑骂
uent	剪发
epbe	受阻
hhmm	上山
esw	膝
eswi	膝
sbde	椭
avth	切片
nysk	尽可
rtpg	手写
xggh	纯正
xyyc	编译
abue	节前
ddog	大业
wggg	合一
amug	英美
wbwk	仓促
ages	七彩
cnlw	难以置信
ftue	考前
ifyt	潮州
itdm	海面
jcrp	紧迫
opwx	熔化
tpkf	乏味
tutj	税利
ugis	美酒
ashf	葙
gghw	一具
vesg	奶酪
ytwt	放任
ccwu	双倍
fbfl	地雷
thip	自学
qtq	獬
qtqh	獬
afat	蔷薇
drrx	大拇指
egbl	助阵
nyxt	迟疑
udwx	送货
ufan	半世
uvwt	兼任
gdmj	天赐
qqet	多用
oooo	燚
pddp	豁达
swwt	枪伤
usg	遵
usgp	遵
xwv	纷
xwvn	纷
ytm	旃
ytmy	旃
bdwh	降龙伏虎
cgwy	对不住
dscm	奇观
fhtg	超重
iwrg	涂抹
uxiq	背光
ddal	大功
garr	开拍
ujbb	单子
bdkk	随口
hnhn	鼎鼎
pepr	宜宾
qrsf	铁杆
qdtf	铸
ajaa	萌芽
aods	营业厅
gaaq	刑警
gswd	末伏
pukq	初吻
tfpg	待定
uswg	遵命
uyrg	门后
yesa	衣柜
biqc	逊色
ewdm	脸面
qtfm	狙击
vcdh	即在
wvtm	分身
xpxw	缤纷
olg	煨
olge	煨
acaf	芭蕾
jftk	里程
pefw	农夫
rlqk	摆钟
trhx	特此
iqde	淆
gcyy	到访
ipxp	浓缩
qswt	杀伤
qypf	留守
segk	极速
suyd	校庆
udty	卷入
duma	三部曲
ihis	小河
nyha	心虚
gonu	恶习
gytr	一试身手
qlbb	链子
tjmm	香山
xtlt	张力
dgyv	硬朗
xugg	弹琴
afoq	鞭炮
amww	英伦
fwuf	雪佛兰
ipud	沉着
punt	补发
qgrv	铺垫
vbpu	君子之交
vtvt	姊姊
ygts	变速箱
kggq	饕餮
lffd	围城
gkks	璪
wkq	侃
wkqn	侃
qbdm	迎面
wgqq	合金
ycig	充沛
nrlo	憮
wasu	柋
muqg	赔钱
ogme	精髓
rfra	抚摸
tgpj	重审
thoj	自爆
wkwg	保全
lwbb	轮子
rswn	打假
wgde	便有
isjg	酒量
jhpv	早安
nnyf	忌讳
pgcq	宝鸡
rtf	卑
rtfj	卑
rwpy	失礼
udaw	送花
xfte	续航
ettg	服务生
gkov	整数
iifa	水域
cbmq	预见
rccm	反观
ywgi	谁不
bmfd	出城
pwgk	窝囊
jgqt	敭
uude	癢
avpd	切割
qnnn	饭局
ailp	东边
hayd	虔诚
kfww	鄙人
mete	崩盘
ophh	迷上
tvce	很能
umlw	商界
hkhm	瞆
dmye	布衣
ftyt	教诲
lfkm	团员
qrjf	曶
dfjg	大都是
eyfp	脑壳
ftty	考入
jqxc	易经
qqdx	金龙
rwtq	推移
sann	棋局
tguy	衙门
tigf	簿
gkjj	整日
sgou	配料
dssh	奇想
fqdg	远古
qhaa	钻戒
vfbp	妓院
wgtt	命笔
wim	倘
wimk	倘
ddiw	大举
vexp	退缩
xeuf	组装
ypya	亮度
srdf	槔
jyfd	影城
tmxu	微弱
vqpj	婚宴
kuqv	嚪
ghqe	正解
qtjf	儿时
ydlk	庆贺
beac	阴茎
eauy	肛门
ijkd	温顺
panx	安东尼
sgws	本体
tfqi	行销
thih	自小
ukkg	问号
vvve	姑奶奶
wfqg	付钱
wpft	人穷志短
wtgo	作恶
ev	妥
djtg	厚重
dmrc	而把
kbka	啊呀
rrcn	白马
wtnt	创造性
kmw	剐
kmwj	剐
sawi	櫒
ffee	十二月
lchk	轻点
rmfc	制动
lkmc	毄
derk	有损
jcgj	贤惠
kqwg	吻合
lrpu	罪魁祸首
pgqd	定然
ugyy	美方
xaxg	红线
xynf	编导
sryt	檄
dfdd	夸大
llfu	默默无闻
ovrp	数控
rcfh	抬起
tgtm	衙役
hwnd	睺
desh	胡椒
gjaa	理工
rgtn	迫不得已
tuqi	科尔
iqxf	光绪
pdcb	寄予
wyyb	偏离
alla	苏轼
qgfl	鱼雷
khct	足矣
qmtt	铅笔
qyiu	印度洋
thxl	自幼
wnfm	追击
wytu	价廉物美
ygic	主治
fntm	志向
rpbb	探子
rult	拉力
rwhv	抢眼
yguw	说不准
hhwu	上位
waii	供水
ddje	大明
fhue	超前
iytj	流利
jayj	歇斯底里
mmud	山羊
oeja	粗暴
pkkh	宫中
pyuj	神童
rirn	挑拨
wdpe	俺家
luf	畔
bmes	出彩
gqxk	列强
kryg	听证
lufh	较真
turc	冬瓜
wyut	停产
ubt	朔
ubte	朔
cega	勇武
nng	巳
nngn	巳
ddwm	大仙
evuk	腿部
tfru	毛拉
yxsm	玄机
scbk	橘
ncmt	惨败
qhdg	钻研
galy	刑罚
lkrk	回扣
wtud	侨眷
yhxw	让给
aqrb	警报
gfuy	球门
iwbq	沦陷
qkip	名堂
rput	近道
sgpf	梗塞
suuj	榜单
qyv	贸
qyvm	贸
egde	且有
lfjf	团里
oyaf	米勒
scyg	权证
qyv	留
dknl	右翼
yftu	计税
naqn	憽
bmfn	出声
gwyv	亚健康
imkk	洞口
khgh	跪下
mdpo	赈灾
qqfn	多亏
tfag	乖巧
yfqu	望远镜
dxgo	袭来
fmyc	南充
iyik	漩涡
mjde	则有
mwwm	内侧
wfsk	伟哥
wvtl	贫血
ddrr	大白
ftfd	都城
akgn	懃
fjww	进价
kfit	中南海
udca	差劲
awii	茶水
iaai	江东
nuhx	买些
uxyb	背离
yafi	谋求
iyyu	游说
ujuf	童装
dhsi	存档
enut	肠道
ipyk	赏识
jvyi	照应
nyfm	以南
wskf	体味
rtd	括
rtdg	括
guqg	平铺
uggj	病理
xxgf	缘于
jyy	蚊
rrwb	摇摇欲坠
cfmd	对岸
gdlg	天国
gxfy	天经地义
hqad	皮尔斯
ipav	深切
lnkm	辅导员
mtwr	几件
pryn	牢记
pvyu	安详
kftj	嗜
ccny	叠翠
qtdf	狂奔
yprn	豪气
ipk	裳
ipke	裳
adtj	惹得
kjpf	喝完
ywsg	腐朽
tpgm	穦
evhh	腿上
fnbb	场子
nand	民居
rhfj	掉进
btmh	降幅
ogqu	精锐
sdok	枯燥
wgqk	例句
fcce	动能
hisw	步枪
wyym	集市
bh	耻
ppsg	之本
qtsk	儿歌
rjfp	提过
tdcf	敌对
wayl	代为
ysvv	魔女
gktj	逼得
imts	油条
kdut	顺道
tdwx	私有化
fstr	动植物
qtbv	独生子女
twqt	等会儿
vfgf	建于
inm	涮
inmj	涮
alpy	蔑视
twqt	待会儿
usrb	新报
gmdg	两三
ihaw	泪花
yyqq	许许多多
ivmh	津贴
nunv	憎恨
sasf	杠杆
xtkk	张口
gypg	更衣室
swxb	松弛
umaw	端茶
gnyj	瓸
afuj	邯郸
amgk	黄豆
ghgk	正事
gjta	更长
ntcm	改观
pfxf	完结
rhlt	看图
tlqc	血色
xqvb	约好
yfbb	庄子
ygmq	主见
tqf	衔
tqfh	衔
tcuu	私立
pfnh	完蛋
rrpf	拍完
yniy	废液
gdst	天桥
jvtm	照射
njyt	心里话
nxuh	收费站
rpra	擦拭
smgg	可见一斑
xqgm	绚丽
naqi	展销
tfpy	行礼
wtif	作法
xagc	练到
tong	释怀
sgbn	杶
desg	硼酸
fggk	干事
owxa	粉红
pgyf	宣读
uatq	并称
ccyn	双赢
gqip	死党
ickk	汉口
ngtd	情敌
ftrt	老手
jcld	坚固
sawc	檴
dhfp	破壳
fcad	劫匪
fnsg	亏本
mmkk	山口
nyiw	尽兴
rthh	插上
tplg	私家车
gsjj	末日
nhw	惧
wlk	伽
wlkg	伽
nhwy	悼念
vblw	好办
ywyw	夜夜
thnu	息
hibb	步子
fnyf	声讨
giqm	不负
gutm	平躺
haxt	眼花缭乱
nyfn	心声
qnud	包头
vbis	好酒
gdbf	天际
sgng	醒悟
atg	薰
atgo	薰
yorf	变质
qhj	亇
yve	庸
yveh	庸
derh	胡扯
tfrv	造势
uqtm	净身
ffpu	填补
gmtm	现役
khr	踬
khrm	踬
dgdg	大理石
euye	脱衣
idvv	小龙女
mqee	风貌
rjjh	提早
yayy	诺言
daqu	奁
igke	灢
mfn	赎
mfnd	赎
qnq	馋
qnqu	馋
sfuk	樯
wad	偌
wadk	偌
adun	苦闷
byuj	孩童
dllg	三轮车
gpyn	形容词
iwit	沧海
jobm	显出
ngdr	情愿
uqth	奖牌
rhgh	挊
aaxj	医药费
tyip	往常
unug	并发症
ipyu	学说
pbtw	字符
ufdn	装成
vegi	退还
fmfj	坍塌
nyif	心法
reji	摇晃
wwfb	坐地
oj	烛
rpuk	近况
ugaa	美工
fdpl	志愿军
dgod	三类
fjyx	坦率
ghbq	一目了然
ragq	找死
aqap	荷尔蒙
ccvk	又如
gmuk	责问
lgdd	国大
tmbb	笛子
eyyt	脏话
pjyn	审讯
sgwn	酷似
cwhk	难点
dmgn	而与
gqja	残暴
oowx	火化
ufcq	斗鸡
ugdl	病历
yftp	庄稼
ngd	刁
fjud	埋头
fwgh	零下
gmnt	两性
mqwx	风华
qyqd	贸然
sgjf	酷暑
imqh	海内外
iptp	掌管
kkeb	口服
rcbb	瓜子
sglp	西边
wdfb	伏地
wqwk	低保
xajt	红星
ythv	放眼
gejf	表里
hhtf	上等
ytnt	诱发
gwfw	璵
rnr	摺
rnrg	摺
mjuq	则将
pwus	空闲
ujww	单人
kktc	口径
wviy	分流
ith	溴
ithd	溴
amny	英尺
dlnm	历届
ekpf	脚踏实地
mfyt	周旋
nawh	民企
rlgu	摆平
tbbw	自卫队
trwt	特任
ybtd	熟知
nuv	慊
nuvo	慊
airr	落魄
ckue	台前
gavn	开刀
gnqe	瓦解
sssr	木板
tapu	长裤
xgce	绝不能
qtpm	獱
bdxx	随缘
byuq	防盗
hhdd	战战兢兢
hxyl	此谓
mfiy	赌注
sbbb	椰子
thkf	自嘲
udgo	送来
uqnd	音乐剧
iwyc	泠
kie	哨
kieg	哨
fgbu	无理取闹
imai	没落
itiw	洗浴
mmfh	山坡
ouis	料酒
trrp	物探
uwty	准入
wyfj	今朝
cqel	鸡肋
bytl	防务
ftsj	考查
ufrn	斗气
ywgj	谕
gxpu	互补
igte	清秀
nnsa	书柜
rgii	白开水
tadn	长成
wfwf	全运会
whpu	修补
ypda	这厮
rquh	气象站
ob	籽
fiqe	求解
iwb	沧
dnpe	成家
hkgk	战事
vvrg	女兵
itl	劣
itlb	劣
dgrf	硬质
kkst	品格
lgyl	车库
ougc	料到
mhaj	帷幕
bmfu	出境
fhgk	超速
ssu	栗
hhrt	上手
yyhw	文具
aghh	艹
grdm	正反面
lwyn	输赢
tgvo	生灵
gwmi	一代风流
lwiy	输液
wfwg	伎俩
elyy	爱国主义
mhav	贴切
ntwf	居委会
qgmw	鱼肉
qubw	铲除
ajnt	萌发
ginq	不懈
iwpv	淮安
thxj	自费
ufqt	癫狂
wfga	传开
yctt	译笔
yrif	亵渎
rbm	拙
rbmh	拙
bmds	出奇
ojru	焊接
vbnn	好书
lwto	轮番
rdth	掩鼻
rhca	看戏
rtrc	拖把
rukr	接听
ypud	这头
ayqk	芳名
osiq	灯泡
wnlk	追加
xlfg	细雨
afbb	靴子
rxfi	批示
svpf	要塞
tupg	简写
itpq	当务之急
qtbr	独孤
rxid	指尖
viet	录用
qyhk	留点
rsrt	打手
thtj	自得
utft	道教
usyq	遵义
hnhg	睸
lqtj	鸭梨
dgah	研
kyp	嚎
kype	嚎
bdwp	取而代之
dumq	碰见
gcud	到头
gufy	平壤
jakh	暴躁
pugk	实事
yjgj	为时不晚
srhm	榹
ayyt	荒诞
ghyh	到此为止
imyo	没变
khrx	中指
ngww	懒人
rmuq	抽奖
tsts	条条
wfyq	仁义
dtnd	故居
ucqq	冶金
etad	用项
fhkn	直叫
qkgh	名下
ddug	大病
epgg	逐一
ftth	老牌
nhfc	收支
qtud	猎头
tgwq	生父
udlk	送回
uqdl	资历
uuud	阅卷
dkfj	大跃进
ucss	痛楚
amim	黄油
lfii	墨水
gqtr	摮
iyfc	游动
rmnf	制导
usqt	闲逛
wvqg	分钱
wyry	仗义执言
tcgk	私事
yyuq	广交
grmt	珠峰
jgtb	旺季
lntu	思科
tjtf	复选
ufuw	痔疮
wvvq	分娩
xtbi	缝隙
dmgw	有凤来仪
ipgj	常理
iqwx	光华
nutx	性关系
tdaj	筹划
tqpw	稀罕
utgo	首恶
uwfp	闪过
xjqe	费解
nku	甓
nkun	甓
bera	阻挠
iyuq	注资
ltxk	力强
nfnv	愤慨
nyqg	迟钝
tjou	香料
tttf	竹竿
uudh	立夏
ypdq	豪爽
yskk	魔咒
fqiu	远洋
gtll	麦田
whrc	个把
yode	亦有
wgk	鸽
wgkg	鸽
bmmm	出山
nalw	民办
apnn	菅
ncbk	憰
tukb	篰
eyte	脑筋
fhka	起哄
iuid	溯源
ryfw	反应堆
sfyd	李嘉诚
xfdn	结成
ipad	学期
ipyb	常熟
qkyt	句话
tiyx	利润率
utua	疙瘩
pwdx	突袭
tfud	告状
rnhk	据点
tdal	丢三落四
usqu	新锐
dfmq	压岁
eyit	脑海
fgtj	博得
hkxg	战线
lfyo	转弯
mtrp	几近
rphv	近视眼
ygyl	评为
tbg	秄
tgmn	身不由己
ypdq	毫克
ggsi	一档
kcrn	叹气
tvwt	委任
brgg	隍
fmdh	击破
ftdc	老友
fvfw	未婚夫
gstc	青梅竹马
ifbw	游击队
xqtg	维多利亚
yfsc	主动权
isgg	泍
ktae	川菜
awyf	萑
iatm	满身
ihey	波及
tgbq	熏陶
gpgi	一字不漏
ihai	渺茫
impw	洞穴
itmq	海风
nsgd	心想事成
ydjn	庵
aifh	荡起
gkww	整人
kfvb	嗜好
qdey	危及
tegm	秀丽
utpe	道家
xwwg	纵使
ajwy	募集
vbet	好胜
aan	苣
aanf	苣
auik	共产党员
tbmq	季风
tgwt	重任
jaj	蜡
jajg	蜡
axyy	药方
jyff	影坛
pujv	裸照
ftng	才情
grrt	一把手
ttga	笔形
ugrr	病逝
wshh	何止
ac	芭
qtfi	狋
rqaj	捪
swyf	榫
ac	茅
bhdn	蚩尤
bsru	阿拉
oorn	火气
rybm	撤出
ddg	碱
ddgt	碱
ftud	教养
icwx	汉化
kkpp	踏踏实实
spnf	梦寐以求
uiuf	冰激凌
wvtp	分管
iiqu	津津乐道
quab	儿童节
rpwn	近似
rvfi	搜救
xtrh	终年
dfwg	压倒
teyt	盘旋
yqaa	义工
avy	芄
avyu	芄
ghkh	下跪
rfsh	质朴
ulww	兽欲
dmuq	页次
gmmk	一帆风顺
iqdm	泡面
tfrr	告白
vvaw	女巫
ysuj	床单
lkww	加价
rqgy	换班
xfdg	结石
kwq	嗲
kwqq	嗲
klgo	别来
kwwd	只做
tthh	称得上
uejq	前晚
wcwv	公分
wjyi	但应
ijxm	灦
dyid	太湖
ghnt	下发
hhiy	上流
rjnt	揭发
almy	苏丹
nnfp	已过
ij	浊
nnyy	乙方
ssuu	林立
tfwg	先例
yfbc	读取
fnxn	违纪
iwvf	兴建
whrn	悠扬
xynn	统计局
dmdq	耐克
gmds	两厢
itef	洗脚
adny	苦心
fqlg	无畏
pgum	富商
qgyg	印证
qtrh	猫扑
ttgf	长生不老
ugdd	凄厉
dmwf	面值
imyg	测评
tftd	先知
txgi	繁琐
vbxk	好强
lfwh	转悠
lhdm	四面
ytnf	诱导
gdov	天数
uqdf	瓷砖
yxtd	紊乱
vjs	巢
vjsu	巢
ddvn	大刀
yutl	详备
hnt	瞩
hnty	瞩
ktyc	唾弃
vtwy	群集
dsna	奇异
giak	不惑
lpkh	边距
wadw	供奉
wkwh	保修
rhrd	牛排
ddma	大典
dego	胡来
eeqc	月色
tguf	重装
wygk	信赖
ofn	炜
ofnh	炜
khdd	中大
sdum	顶端
ynyd	肇庆
qnjh	刨
rusb	擲
flya	雷诺
gcwf	到会
gjnt	理发
klet	别用
qvfa	争霸
rmft	投考
sggo	西亚
ssql	禁锢
ygog	主业
qhnn	外快
qvkt	银川
qhfj	钻井
ttss	竹林
yatg	谋生
rfnf	擣
wjht	敒
fcsf	支票
ryfm	抗击
ujqc	音色
hany	虚心
gplp	璭
efhh	脚上
fcth	运算
ghjg	正题
rulf	搁置
tqnt	重金属
wffu	佳境
xuih	弱小
eejf	貋
lge	畏
lgeu	畏
dxjg	龙虾
mfrb	周报
qnds	包厢
svpw	根究
jlx	螺
jlxi	螺
lge	圊
aytj	芳香
kmpt	员额
ktkd	呼喊
xyxa	缠绕
inwy	濯
lge	辅
puv	褪
puvp	褪
rttq	搬移
ttsr	竹板
ktrn	呼气
wqgh	斧正
xtbn	终了
dtwf	帮会
fjbc	进取
fmft	南都
kkmd	口岸
rcuy	把门
tmpe	身家
pqpe	冤家
pwdx	空袭
fljn	雷电
ywe	诊
ywet	诊
jhyo	畅谈
lapy	罗斯福
uiua	冰冻
iyu	濂
iyuo	濂
fvyq	喜怒哀乐
gtdt	不得而知
kksa	器械
lngy	辅导班
nysm	心机
qket	够用
uevn	剪刀
uktk	总和
vpvp	婶婶
ylki	禀
ayaf	荒芜
ipsv	棠棣
touu	翻阅
wirw	似水年华
xbrg	红卫兵
xthk	绺
fquj	无间
gdmd	亚历山大
knsg	叫醒
ufgk	装束
ipk	棠
ipks	棠
dxwx	龙华
ifrf	潜质
wjgf	介于
xeuk	缓冲
hanj	彪悍
lwyg	办证
mqee	风月
rqtu	换乘
tfdj	千百
gmfc	遭劫
fwfo	熱
dthj	故旧
knut	叫道
lccb	轻柔
ngum	情商
rclf	反转
uqru	交接
uwai	冷落
yupg	谱写
casw	颈椎
jgxg	师母
fyiy	二话没说
gywm	玉佩
kgkg	啧啧
khfi	跪求
qrce	铁通
bnxf	了结
bssk	阿哥
ghgr	琥珀
jern	暖气
ruwn	探亲假
tugb	毛将焉附
xtyn	张望
yiai	京东
maai	典范
ggli	瑓
sgiy	杯
aefc	散去
fgtb	雨季
gayn	开房
rlrc	摆摊
ttgh	笔下
utjf	新德里
ytqg	旗鱼
gito	不愁
rjoa	提炼
sgtj	本利
udff	善款
wccq	公鸡
rrhv	白眼
vvfn	女声
wwfh	偷走
sdf	槈
sdff	楏
tgqq	重金
vont	灵性
kejh	剈
bmnn	聘书
hcqq	颇多
lteu	图腾
pggj	定理
qhjy	外景
blyn	阵亡
eggq	悬殊
sktf	可选
dyww	丈人
hhuq	上将
jnyn	电扇
rpyq	探询
wjbb	介子
djpe	百家
ejjg	胆量
fqft	元老
jcey	肾脏
ooev	火腿
ssdg	木石
tfdt	德邦
vtva	妖娆
xwtx	维系
nfqt	迅猛
fhlk	赶回
